Concept,Category,Coachable?
accessory_use,style,Y
activity_signal,activity,Y
adventure_signal,activity,Y
alternative_aesthetic_signal,style,N
architectural_background,background,Y
artistic_background,background,Y
athletic_wear_presence,style,Y
bathroom_mirror_setting,setting,Y
beautification,grooming,Y
beverage_presence,prop,Y
blonde_hair_feature,appearance,N
blur,photo_quality,Y
body_positive_signal,appearance,N
car_selfie_presence,setting,Y
casual_dining_context,setting,Y
casual_outfit,style,Y
casual_pose_style,pose,Y
casual_setting,setting,Y
casual_to_formal_range,style,Y
clear_face_visibility,appearance,Y
cleavage_emphasis,appearance,N
close_up_framing,framing,Y
confident_posture,pose
costume_presence,style,Y
crop_top_styling,style,Y
curly_hair_feature,appearance,N
direct_gaze_camera,expression,Y
event_attendance_signal,activity,Y
face_partially_obscured,appearance,Y
facial_expression_variety,expression,N
facial_hair_presence,appearance,N
fashion_focus,style,Y
fitness_signal,activity,Y
formal_attire_presence,style,Y
full_body_presence,framing,Y
glasses_presence,appearance,N
golden_hour_lighting,photo_quality,Y
graphic_tee_presence,style,N
grooming_signal,grooming,N
group_photo_presence,composition,Y
gym_context,setting,Y
hair_style_variety,appearance,N
headwear_presence,style,Y
home_environment_context,setting,Y
humor_signal ,expression,Y
indoor_context,setting,Y
indoor_outdoor_mix,setting,Y
indoor_selfie_presence,composition,Y
indoor_social_setting,setting,Y
jewelry_presence,style,N
landmark_presence,background,Y
lifestyle_variety_signal,activity,Y
lighting,photo_quality,Y
lighting_variation,photo_quality,Y
location_variety,setting,Y
long_hair_styling,appearance,N
low_light_photography,photo_quality,Y
low_photo_count_profile,meta,Y
makeup_emphasis,grooming,N
mirror_selfie_presence,composition,Y
music_interest_signal,activity,Y
natural_lighting,photo_quality,Y
nature_context,setting,Y
neutral_expression,expression,Y
nightlife_context,setting,Y
outdoor_activity_signal,activity,Y
outdoor_context,setting,Y
outdoor_dining_context,setting,Y
outfit_variety,style,Y
personal_space,composition,N
pet_presence,prop,Y
phone_in_frame,composition,Y
photo_variety,meta,Y
physique_display,appearance,N
piercing_visibility,appearance,Y
playful_expression,expression,Y
pose_variety,pose,Y
posed_photo,pose,Y
positive_facial_expression,expression,Y
professional,photo_quality,Y
prop_presence,prop,Y
relaxed_expression,expression,Y
relaxed_posture,pose,Y
resolution,photo_quality,Y
seasonal_variety,setting,Y
seated_pose_pattern,pose,Y
selfie_presence,composition,Y
sharpness,photo_quality,Y
shirtless_photo_presence,appearance,N
smiling_expression,expression,Y
social_context_signal,activity,Y
solo_photo_presence,composition,Y
standing_pose_pattern,pose,Y
streetwear_style,style,Y
sunglasses_presence,appearance,Y
swimwear_presence,appearance,N
tattoo_visibility,appearance
travel_vacation_signal,activity,Y
upper_body_focus,framing,Y
urban_environment,setting,Y
vehicle_presence,prop,Y
vibrant_color_palette,photo_quality,Y
warm_color_palette,photo_quality,Y
water_activity,activity,Y
waterfront_setting,setting,Y
youthful_presentation,appearance,N
athletic_muscular_build,,N
background_aesthetics,,Y
candid_natural_style,,Y
dental_smile_quality,,N
facial_hair_grooming_quality,,N
hair_maintenance_quality,,N
heavy_filter_editing,,Y
luxury_affluence_signal,,N
mature_older_appearance,,N
outfit_coordination,,N
overall_photo_effort,,Y
overall_visual_appeal,,Y
overweight_body_type,,N
perceived_confidence,,Y
photo_set_cohesion,,Y
skin_complexion_quality,,N
skin_exposure_level,,N
slim_body_type,,N
suggestive_provocative_posing,,N
warmth_approachability,,Y
has_bio,badge,Y
bio_length,badge,Y
has_prompts,badge,Y
prompt_count,badge,Y
has_relationship_intent,badge,Y
has_interests,badge,Y
interest_count,badge,Y
has_workout,badge,N
has_education,badge,N
has_drinking,badge,N
has_smoking,badge,N
selfie_verified,badge,Y
photo_count,badge,Y
div_interests_activity,diversity,Y
div_social_group,diversity,Y
div_lifestyle_naturalness,diversity,Y
div_pose_variety,diversity,Y
div_location_variety,diversity,Y
